artículo,sujeto,adjetivo masculino,adjetivo femenino,acciones
El,acantilado,absurdo,absurda,abofetea a alguien
El,ácaro,ácido,ácida,aborrece algo
El,acertijo,admirable,admirable,aborta
La,adivinanza,adolescente,adolescente,abrocha algo
El,adorno,afectuoso,afectuosa,acaba inquieto
La,aeronave,afortunado,afortunada,acaricia a algo/alguien
El,afluente,alegre,alegre,acosa a alguien
El,aguacate,altivo,altiva,adelgaza
La,aguja,amable,amable,adivina
El,alba,amargo,amarga,adopta
La,alegría,ambiguo,ambigua,afeita
El,alféizar,amistoso,amistosa,agria
La,alondra,andrajoso,andrajosa,agujerea una superficie
La,amada,angelical,angelical,ahoga a alguien
El,amanecer,anómalo,anómala,ahorra
La,amante,anónimo,anónima,aísla
La,amistad,ansioso,ansiosa,ajusta
El,amor,antiguo,antigua,alinea
La,anciana,apasionado,apasionada,alumbra
El,andén,apático,apática,ama
El,ángel,argénteo,argéntea,amarra
El,anillo,árido,árida,amenaza a alguien
La,ansiedad,arrejuntado,arrejuntada,amputa un miembro
El,aposento,artesanal,artesanal,amuebla un hogar
El,árbol,áspero,áspera,aniquila un enemigo
El,arco,astuto,astuta,anticipa un evento
La,armadura,atento,atenta,anuncia un evento
La,arpía,atómico,atómica,apesta
El,arquitecto,atractivo,atractiva,araña
El,arrebol,atrevido,atrevida,arde
El,arroyo,atroz,atroz,asedia
El,artefacto mágico,audaz,audaz,asesina a un amigo
El,asteroide,áurico,áurica,asfixia a un enemigo
El,astronauta,ausente,ausente,aterriza forzosamente
El,atún,automático,automática,atormenta
La,aurora,bajo,baja,atraviesa
La,ausencia,bancario,bancaria,aturde a alguien
La,avena,barato,barata,auxilia a alguien
La,aventura,bárbaro,bárbara,averigua una mentira
El,avión,básico,básica,ayuna
El,azafrán,basto,basta,babea
El,azúcar,beato,beata,baila
El,baile de disfraces,belga,belga,balancea un objeto
El,balcón,bélico,bélica,balbucea con vergüenza
La,baldosa,beligerante,beligerante,barajea
La,ballena,bello,bella,barre
El,balrog,bíblico,bíblica,batalla en una guerra
La,balsa,bilingüe,bilingüe,batea
El,banco,biológico,biológica,bautiza algo
El,bandido,blanco,blanca,bebe
El,bar,blando,blanda,besa a alguien
La,barca,bonito,bonita,blande un arma
El,barco pirata,boreal,boreal,blanquea algo
El,belfo,borracho,borracha,blanquea dinero
El,beso,boscoso,boscosa,bloquea algo
El,besugo,breve,breve,boicotea una estrategia
La,biblioteca,brillante,brillante,bombardea un territorio
La,bicicleta,brusco,brusca,borda un tapiz
El,bigote,brutal,brutal,borra algo
El,bikini,bueno,buena,brilla
El,billar,burgués,burguesa,brinca
El,bisonte,burlón,burlona,brinda
El,bizcocho borracho,cálido,cálida,bromea
La,boca,callejero,callejera,brota
El,bocadillo,caprichoso,caprichosa,bucea
El,bogavante,cariñoso,cariñosa,bulle
La,bohemia,cascarrabias,cascarrabias,burla
El,bolo,casposo,casposa,busca
El,bombero,cauto,cauta,cabalga
El,bosque,célebre,célebre,cae
La,bota,celoso,celosa,cambia
La,botella,cercano,cercana,camufla
El,botón,cerúleo,cerúlea,canta
La,braga,ciego,ciega,captura
La,brisa,cínico,cínica,castra
El,bronceador,clasista,clasista,celebra
La,bruja,cobarde,cobarde,cepilla
La,brújula,coherente,coherente,cercena
El,buitre,colosal,colosal,chilla
El,burdégano,cómodo,cómoda,cobra vida
El,caballero,compacto,compacta,codicia
El,caballito de mar,compasivo,compasiva,cojea
El,caballo,complejo,compleja,combate
La,cabaña,complicado,complicada,come
La,cadena,comprensivo,comprensiva,compite
El,café,común,común,complica algo
El,caldero,contradictorio,contradictoria,concibe algo
El,camarote,convencional,convencional,condena a alguien
El,camino,convincente,convincente,confronta
El,campo de batalla,cordial,cordial,conquista
El,campo de torneos,corpulento,corpulenta,consagra
El,cancerbero,cortante,cortante,conserva
La,canoa,cortesano,cortesana,consigna
El,capitán,cósmico,cósmica,conspira
La,carta,creativo,creativa,construye
La,casa solariega,criminal,criminal,contagia
La,cascada,crítico,crítica,copula con el enemigo
El,castillo,crónico,crónica,coquetea
La,catacumba,cruel,cruel,corona
El,catarro,cuántico,cuántica,corre
El,cementerio,cuidadoso,cuidadosa,corta
El,centauro,culpable,culpable,corteja a alguien
La,cerradura,curativo,curativa,cosecha
La,chimenea,curioso,curiosa,cultiva
El,chocolate,curvo,curva,cumple una promesa
La,cicatriz,débil,débil,curte
El,cíclope,decidido,decidida,custodia
El,cielo,delgado,delgada,danza
La,ciénaga,delicado,delicada,daña
El,cisne,delicioso,deliciosa,deambula
El,ciudad,delincuente,delincuente,debilita
La,claridad,dependiente,dependiente,decapita
El,cobertizo,deprimido,deprimida,declara
La,cocina,desagradable,desagradable,deforma
La,cocinera,desaliñado,desaliñada,defrauda
El,cofre,desapasionado,desapasionada,deja pasar el tiempo
El,colchón,desarmado,desarmada,delata
El,colibrí,descomunal,descomunal,demora
La,colina,desconfiado,desconfiada,denuncia
La,colonia,descuidado,descuidada,derruye
El,cometa,deseado,deseada,desabrocha
La,comida,desfavorecido,desfavorecida,desafía
La,compasión,deshonrado,deshonrada,desaparece
La,concha,desierto,desierta,desayuna
El,concierto,despierto,despierta,descansa
El,constelación,dichoso,dichosa,descubre algo
El,copo de nieve,diferente,diferente,desea
El,cordón,difícil,difícil,desembarca
La,corona,diminuto,diminuta,desencanta a alguien
El,corpúsculo,dinámico,dinámica,desentona
La,creatividad,directo,directa,deshonra
El,crepúsculo,discreto,discreta,desilusiona
El,crucero,disfrazado,disfrazada,desnuda a alguien
La,cuchara,disperso,dispersa,desobedece
El,cuchillo,distante,distante,desviste
El,cuervo,divertido,divertida,devasta
La,cueva,divino,divina,dibuja
El,dado,dócil,dócil,discute
El,dardo,doloroso,dolorosa,disfruta
El,dátil,doméstico,doméstica,dispara
El,delfín,dorado,dorada,distorsiona
El,demonio,dracónico,dracónica,divorcia
La,depresión,dramático,dramática,duda
El,desagüe,druídico,druídica,duerme
El,desenlace,dulce,dulce,eclipsa
El,desertor,duro,dura,edifica
El,desfiladero,ecológico,ecológica,elige un blasón
El,desierto,efímero,efímera,elimina
El,destino,egoísta,egoísta,emborracha
El,devaneo,electrónico,electrónica,emigra
El,día,elegante,elegante,empalma
El,dibujo,élfico,élfica,empeora
La,dinastía,emocional,emocional,enamora
El,diodo,encantador,encantadora,encadena
El,dios,enérgico,enérgica,encanta
El,dique,enfadado,enfadada,enciende
El,dodo,enfermo,enferma,encuentra
El,dolor,engreído,engreída,endulza
El,dragón,enjuto,enjuta,enferma
El,dragón de komodo,enterrado,enterrada,engaña
La,dríada,entrometido,entrometida,engrasa
La,droga,equilibrado,equilibrada,ensambla
El,duende,erótico,erótica,entierra
La,duna,erróneo,errónea,entrevista
El,eclipse,esbelto,esbelta,envejece
El,edredón,escandaloso,escandalosa,envenena
El,ejército,escéptico,escéptica,erradica
El,elfo,espacial,espacial,eructa
La,elocuencia,espeso,espesa,es derrotado
El,enano,espiritual,espiritual,es tentado
El,enemigo,espontáneo,espontánea,es timado
La,epifanía,estéril,estéril,es vapuleado
La,época,estimulante,estimulante,escoge
El,equidna,estoico,estoica,escupe
El,equilibrista,estricto,estricta,esmalta
La,equitación,eterno,eterna,esposa
El,erizo de mar,ético,ética,está penando
La,escalera,exagerado,exagerada,estornuda
El,escarabajo,excéntrico,excéntrica,estrangula
La,escarcha,excesivo,excesiva,estropea
El,escasez,exclusivo,exclusiva,excita
La,escoba,exigente,exigente,experimenta
El,escorpión,exitoso,exitosa,extermina
La,escotilla,exótico,exótica,extorsiona
El,escritor,explosivo,explosiva,extraña
El,escudero,expresivo,expresiva,fabrica
El,escudo,exquisito,exquisita,facilita
La,esfinge,extraordinario,extraordinaria,falla
El,esgrima,extrovertido,extrovertida,falsea
El,espacio,fácil,fácil,fantasea
El,espacio exterior,falto,falta,favorece a alguien
La,espada,familiar,familiar,fermenta
El,espaguetis,famoso,famosa,festeja
El,espejo,fanático,fanática,fía
La,esperanza,fantástico,fantástica,filma
La,esponja,fascinante,fascinante,filtra
La,esposa,fatal,fatal,finaliza
El,establo,fatuo,fatua,financia
La,estación,favorito,favorita,fisgonea
El,estadio,feliz,feliz,flagela
El,estanque,femenino,femenina,flaquea
La,estatua,feo,fea,flirtea
La,estrella,fértil,fértil,florece
El,estropajo,fiable,fiable,flota
El,estuario,ficticio,ficticia,fluctúa
El,faisán,fiel,fiel,forcejea
La,familia,fijo,fija,forja
La,farmacia,final,final,forma
El,farol,fino,fina,fracasa
El,felpudo,firme,firme,fracciona
El,fénix,flaco,flaca,fractura
El,feudo,flexible,flexible,fragmenta
El,fiambre,flojo,floja,frecuenta
La,fiebre,floral,floral,fríe
La,fiera,fluvial,fluvial,friega
La,fiesta,formal,formal,fuerza
El,fino ropaje,frágil,frágil,funciona
El,fiordo,franco,franca,galantea
El,flamenco,frecuente,frecuente,galopa
La,flauta,fresco,fresca,gana
El,flirteo,frío,fría,garabatea
La,flota,fuerte,fuerte,garantiza
La,fluctuación,fugaz,fugaz,gasta
La,foca,fúnebre,fúnebre,genera
El,foso,funesto,funesta,germina
La,frambuesa,furioso,furiosa,gesticula
El,francotirador,fútil,fútil,gime
La,fraternidad,general,general,gimotea
La,fresa,genérico,genérica,gira
El,fresco,generoso,generosa,glasea
El,frío,genético,genética,glorifica
La,frontera,genial,genial,glosa
La,fruta,geográfico,geográfica,gobierna
El,fruto seco,geológico,geológica,golpea
El,fuego,geométrico,geométrica,gorjea
La,fuente,gigante,gigante,gorrea
El,futuro,gitano,gitana,gorronear
La,gabardina,glacial,glacial,gotea
El,galápago,global,global,goza
La,galaxia,glorioso,gloriosa,graba
El,gallo,gordo,gorda,grada
La,gasolina,gótico,gótica,gradúa
El,gato,gracioso,graciosa,granula
La,gaviota,gráfico,gráfica,grapa
La,geografía,grande,grande,gravita
El,gigante,grandilocuente,grandilocuente,grita
La,ginebra,grandioso,grandiosa,gruñe
El,giro postal,grato,grata,guarda
El,globo,gratuito,gratuita,guía
El,glotón,grave,grave,habilita
La,golondrina,griego,griega,habita
La,gorgona,gris,gris,habla
El,gorila,grosero,grosera,hace
El,gorrión,grotesco,grotesca,hace amigos
La,granada,grueso,gruesa,hace enemigos
El,granizo,gruñón,gruñona,hace vibrar algo
La,granja,guapo,guapa,hacina
La,grapadora,hábil,hábil,halla una herramienta
La,grasa,habitual,habitual,halla una pista
La,grosella,hablador,habladora,hereda
La,grulla,hambriento,hambrienta,hermana
El,guardia,harto,harta,hiberna
La,guardia,henchido,henchida,hidrata
El,guateque,herbáceo,herbácea,hiela
El,guepardo,heredado,heredada,hiere
La,guindilla,herido,herida,hierra
La,gula,hermoso,hermosa,hierve
El,gusano,heroico,heroica,hila
El,haba,heterogéneo,heterogénea,hilvana
El,habitante,hidráulico,hidráulica,hipa
El,hacha,hipócrita,hipócrita,hojear
El,hada,hipotético,hipotética,honra
El,hada madrina,histérico,histérica,hornea
El,halcón,histórico,histórica,hospeda
El,hambre,holgazán,holgazana,huele
La,hamburguesa,homogéneo,homogénea,huelga
El,hechizo,homosexual,homosexual,humea
La,hélice,hondo,honda,humedece
El,helicóptero,horizontal,horizontal,humilla
El,heraldo,horrible,horrible,hunde
La,herboristería,hostil,hostil,huye
El,heredero,humanitario,humanitaria,idolatra
La,herida,humano,humana,ignora
La,hermana,húmedo,húmeda,ilumina
La,hermanastra,humilde,humilde,imagina
El,hermano,huraño,huraña,imitar
La,herramienta,imprudente,imprudente,impide
La,hidra,incandescente,incandescente,impone
La,hiena,incognoscible,incognoscible,impregna
El,hierro forjado,inconmensurable,inconmensurable,improvisa
El,hígado,inconsciente,inconsciente,impulsa una iniciativa
El,higiene,joven,joven,incapacita a alguien
El,hipocampo,judío,judía,incinera
El,hipogrifo,juguetón,juguetona,incomoda
El,hipopótamo,juramentado,juramentada,infiere algo
El,hobbit,jurídico,jurídica,influye
El,hogar,justo,justa,infringe las normas
La,hormiga,juvenil,juvenil,injuria a alguien
La,hormigonera,kinestésico,kinestésica,inocula un veneno
El,horno microondas,laboral,laboral,inspira
La,hortaliza,lamentable,lamentable,instaura algo novedoso
La,huelga,largo,larga,instruye al enemigo
El,huérfano,latente,latente,insulta a alguien
El,hueso,lateral,lateral,intercambia información
La,humedad,legal,legal,interpreta
El,huracán,legítimo,legítima,interroga a alguien
El,hurón,lejano,lejana,intimida a alguien
El,idilio,lento,lenta,invade algo
La,iglesia,lésbico,lésbica,investiga
La,iguana,leve,leve,invita
El,imán,levítico,levítica,invoca algo/a alguien
El,impermeable,liberal,liberal,jadea
El,impresionismo,libre,libre,jala
La,incandescencia,lícito,lícita,juega
La,infraestructura,ligero,ligera,junta algunas piezas
El,insecto,limpio,limpia,jura
El,instituto,lindo,linda,juzga acertadamente
El,incendio,lingüístico,lingüística,juzga erróneamente
El,interespacio,líquido,líquida,lacera
El,internado,listo,lista,lacra
El,interruptor,litúrgico,litúrgica,ladra
La,intimidad,llamativo,llamativa,lame una superficie
El,invernadero,lleno,llena,lanza algo
El,invierno,llorón,llorona,lastra
La,inyección,lluvioso,lluviosa,late
La,iridiscencia,local,local,le afecta un cambio mágico
La,isla,loco,loca,le gusta algo
El,jabón,lógico,lógica,legitima
El,jaguar,lúcido,lúcida,levanta
El,jamón,lujoso,lujosa,libera algo
El,jardín,luminiscente,luminiscente,lidera un evento
La,jarra,luminoso,luminosa,lidia con algo inesperado
La,jaula,lunático,lunática,limita
El,jazz,maduro,madura,limpia
El,jengibre,mágico,mágica,lincha
El,jerbo,magnífico,magnífica,lisia a alguien
El,jilguero,maldito,maldita,lisonjea inapropiadamente
El,jinete,maleducado,maleducada,llama a alguien
La,joya,malhumorado,malhumorada,llamea
El,judo,malicioso,maliciosa,llega
La,jungla,maltratado,maltratada,llena algo
La,justa,maravilloso,maravillosa,lleva algo a algún sitio
La,justicia,marciano,marciana,llora
El,kiwi,marginal,marginal,llueve
El,ladrón,marino,marina,logra
La,lagartija,masculino,masculina,luce algo
El,lago,material,material,lucha
La,lanza,maternal,maternal,lustra algo
El,látigo,medieval,medieval,madura
El,laurel,melancólico,melancólica,malgasta
La,lava,mensurable,mensurable,maltrata
La,lechuga,menudo,menuda,manda
La,lechuza,meticuloso,meticulosa,manipula
La,lenteja,mezquino,mezquina,masculla
El,leñador,miedoso,miedosa,medita
El,león,minúsculo,minúscula,medra
El,leopardo,miserable,miserable,mendiga
El,leotardo,misterioso,misteriosa,merodea
El,leprechaun,mítico,mítica,mezcla
El,lesión,moderado,moderada,mide
La,libélula,moderno,moderna,miente
El,libro,modesto,modesta,mima
El,licor,molesto,molesta,mina
El,ligue,monumental,monumental,mira
La,diferencia,mordaz,mordaz,moderniza
El,limón,mortal,mortal,modifica
El,linaje,móvil,móvil,moja
El,lince,mudo,muda,muele
La,litera,musical,musical,muerde algo/a alguien
La,literatura,mutuo,mutua,muere
La,llave,naciente,naciente,nace
La,lluvia,nacional,nacional,nada
El,lobo,nacionalista,nacionalista,narra
La,locomotora,narcisista,narcisista,naufraga
La,lombriz de tierra,narrativo,narrativa,navega
