artículo,sujeto,adjetivo masculino,adjetivo femenino,acciones
El,loro,natural,natural,necesita algo/a alguien
La,lotería,nazi,nazi,negocia
La,lubina,negativo,negativa,niega algo
El,lugar bajo el agua,negro,negra,nieva
El,lugar bajo tierra,nervioso,nerviosa,nivela
La,luminiscencia,neutro,neutra,nombra
La,luna,noble,noble,nomina
La,luz,nocivo,nociva,nota
La,madrastra,nocturno,nocturna,notifica
El,magnetófono,nónuplo,nónupla,nubla
El,mago,normal,normal,numera
El,mamut,normativo,normativa,nutre
El,manantial,notable,notable,obedece
La,manifestación,notarial,notarial,obsequia
La,manta,notorio,notoria,obtiene
La,mantícora,novel,novel,obvia
La,manzana,novelero,novelera,ocasiona
El,mapa,nuclear,nuclear,oculta
El,mar,nuevo,nueva,ocupa
El,mar,nulo,nula,odia
El,maratón,numérico,numérica,ofende
El,marinero,numeroso,numerosa,oficia
El,marisco,nutritivo,nutritiva,ofrece
La,marmota,objetivo,objetiva,olvida
El,mausoleo,obligatorio,obligatoria,omite
El,mazapán,observable,observable,ondea algo en alto
La,mazmorra,obvio,obvia,opera lejos
La,mazorca,occidental,occidental,opina
El,meandro,oceánico,oceánica,oprime a alguien
La,medianoche,octavo,octava,opta por una opción
La,meiga,óctuplo,óctupla,ordena
La,melancolía,ocultación,ocultación,organiza
El,mendigo,oculto,oculta,orienta
La,mermelada de tomate,odioso,odiosa,origina un conflicto
La,mina,ofensivo,ofensiva,orilla una embarcación
El,minotauro,oficial,oficial,ornamenta algo
El,mirlo,ontológico,ontológica,orquesta
La,molécula,opaco,opaca,oscila
El,molinillo,operativo,operativa,otorga
El,monasterio,oportuno,oportuna,oxigena
El,monstruo,óptico,óptica,oye
La,montaña,oral,oral,parodia
La,montaña rusa,orbitado,orbitada,participa en una justa
El,monte,ordinario,ordinaria,pasea
La,mosca,orgánico,orgánica,patea
El,muérgano,organizativo,organizativa,patrulla
El,mujeriego,orgulloso,orgullosa,pega algo/ a alguien
La,muñeca,oriental,oriental,peina
El,murciégalo,original,original,perdona
El,muro,originario,originaria,peregrina
La,musa,ortográfico,ortográfica,perjudica
La,música,oscuro,oscura,permanece
El,nabo,pálido,pálida,persevera
La,naranja,parturiento,parturienta,persigue
La,nariz,pasional,pasional,pertenece
El,narval,pasivo,pasiva,pierde algo/ a alguien
La,nata,pasteloso,pastelosa,pilota
La,natación,patético,patética,piratea
El,naufragio,pedregoso,pedregosa,pisotea
La,nave,peligroso,peligrosa,plancha
La,náyade,penetrante,penetrante,planifica
La,nécora,penoso,penosa,predestina
La,nectarina,pequeño,pequeña,predice
La,nevera,perenne,perenne,premia
La,nieve,perezoso,perezosa,priva
La,ninfa,perfecto,perfecta,procrea
La,niñera,perpetuo,perpetua,profana
El,niño,perseverante,perseverante,progresa
El,níspero,perverso,perversa,prohíbe
El,noche,pícaro,pícara,promete
La,noria,pintoresco,pintoresca,promueve
La,nostalgia,placentero,placentera,propulsa
El,novelista,pobre,pobre,protesta
El,noviazgo,poderoso,poderosa,provoca
La,nube,poético,poética,puebla
El,nudillo,polémico,polémica,quebranta
La,nutria,positivo,positiva,queda
La,nutrición,precoz,precoz,queda hospitalizado
El,nylon,preponderante,preponderante,quiebra
El,ñandú,prestigioso,prestigiosa,quiere a alguien/algo
El,ñu,pretencioso,pretenciosa,quita a alguien
El,oasis,previsible,previsible,raciona algo
La,obertura,prodigioso,prodigiosa,rapta a alguien
El,obrero,profético,profética,rasura algo
La,oca,profundo,profunda,razona
El,océano,progresista,progresista,recauda
El,odio,provocador,provocadora,rechaza
El,oficial,prudente,prudente,recluta a alguien
El,ogro,puntual,puntual,recoge algo
El,ojo,quieto,quieta,recompensa a alguien
El,oleaje,químico,química,reconquista a alguien
La,olla de presión,quinto,quinta,reconstruye algo
El,olvido,quirúrgico,quirúrgica,recuerda algo
El,ombligo,quisquilloso,quisquillosa,recupera algo
La,ondina,racional,racional,reduce algo
El,orate,racista,racista,regresa
El,orco,radiante,radiante,renuncia
El,ordinario,radical,radical,replica algo
El,orégano,rápido,rápida,reprime a alguien
La,oreja,raro,rara,repudia a alguien
El,orfanato,razonable,razonable,requisa algo
El,ornitorrinco,reacio,reacia,rescata
El,oro,realista,realista,rescata a alguien
La,orquesta,rebelde,rebelde,responde
El,ósculo,receloso,recelosa,resucita
El,oso hormiguero,reciente,reciente,resuelve algo
La,ostra,recto,recta,retiene ilegalmente a alguien
El,otoño,referente,referente,rige un pueblo
La,oveja,relativo,relativa,rima
El,pabellón,reluciente,reluciente,roba
El,pájaro,renovador,renovadora,rompe un juramento
El,palacio,repentino,repentina,ruega
El,pantano,reservado,reservada,sabotea algo
La,pantera,resistente,resistente,sacrifica algo
El,parchís,respetable,respetable,salpica
La,pasión,responsable,responsable,salva a alguien
El,pastel,revolucionario,revolucionaria,saquea algo
El,patinaje,rico,rica,se aburre
El,payaso,ridículo,ridícula,se ahoga
El,pegaso,rígido,rígida,se baña
La,peluca,riguroso,rigurosa,se confunde de identidad
El,perfume,rimbombante,rimbombante,se equivoca
El,perro,robado,robada,se fascina con algo
El,pescador,rocoso,rocosa,se habitúa a algo extraño
El,petirrojo,románico,románica,se habitúa a una nueva vida
El,pez,romano,romana,se hace valer
La,pezuña,romántico,romántica,se harta
La,piedra,roto,rota,se hiere
La,pintura,rotundo,rotunda,se infiltra
La,piña,rubio,rubia,se irrita
La,pipa,ruidoso,ruidosa,se jubila
El,pirata,rutinario,rutinaria,se junta con alguien
El,pistacho,sabio,sabia,se justifica
La,pistola,sagaz,sagaz,se lamenta
La,pitonisa,sagrado,sagrada,se lastima
La,pizarra,salado,salada,se le rompe el corazón
El,planeta,salvaje,salvaje,se libra
El,plano,sangriento,sangrienta,se magulla
El,plástico,sano,sana,se mancha
La,plata,santificado,santificada,se maravilla
La,playa,secreto,secreta,se marcha
La,pluma,seguro,segura,se marchita
La,poción,selenita,selenita,se marea
El,político,sencillo,sencilla,se mece
El,polizón,sensato,sensata,se molesta
La,posada,sensible,sensible,se mosquea
El,pozo,sensorial,sensorial,se motiva
La,pradera,sentimental,sentimental,se muda
El,precipicio,sereno,serena,se obsesiona
La,prenda de amor,serio,seria,se olvida
La,primavera,servicial,servicial,se opone a algo
La,princesa,severo,severa,se pierde
El,príncipe,sexual,sexual,se posa
La,promesa,silencioso,silenciosa,se queja
El,pueblo,similar,similar,se quema
El,puente,simpático,simpática,se recluye
La,puerta,simulado,simulada,se reconcilia
El,puerto,sincero,sincera,se retira
La,pulga,siniestro,siniestra,se reúne
El,quebrantahuesos,sintético,sintética,se ríe a carcajadas
La,quimera,sobrenatural,sobrenatural,se rinde
La,química,sofista,sofista,se rompe
El,quiosco,sofisticado,sofisticada,se separa
La,radio,soleado,soleada,se tambalea
La,rana,solemne,solemne,se traga algo
El,rascacielos,solidario,solidaria,se tranquiliza
El,rastrillo,solitario,solitaria,se trastorna
La,rata,sombrío,sombría,se turna con alguien
El,ratón,sonriente,sonriente,se voltea
La,raya,sospechoso,sospechosa,secuestra a alguien
El,realismo,suave,suave,seduce a alguien
La,receta,sucio,sucia,selecciona algo
El,recogedor,suculento,suculenta,sella un pacto
El,rectángulo,sudoroso,sudorosa,separa algo
El,recuerdo,sueño,sueña,sepulta algo
El,refresco,susceptible,susceptible,simplifica algo
La,regadera,sutil,sutil,sitia un lugar
El,regalo,tacaño,tacaña,soborna a alguien
El,regreso,taciturno,taciturna,sobrevive
La,reina,tajante,tajante,socorre a alguien
El,reino,talentoso,talentosa,soluciona
El,relámpago,tardío,tardía,somete a alguien
El,relieve,temeroso,temerosa,sonríe
La,religión,temible,temible,soporta algo
La,reliquia,temporal,temporal,sorprende a alguien
El,remo,tenaz,tenaz,sospecha de algo
La,remolacha,tenso,tensa,subestima a otro
La,rémora,teórico,teórica,subestima al enemigo
El,rencor,terapéutico,terapéutica,suelda
El,reno,térmico,térmica,suelta
El,reportaje,terrestre,terrestre,sueña
La,reproducción,terrible,terrible,sufre un flechazo inoportuno
La,resiliencia,territorial,territorial,sugiere una idea
El,retraso,terrorista,terrorista,sujeta algo
El,retrato,tibio,tibia,supervisa
La,reunión,tierno,tierna,suplanta
El,rey,tieso,tiesa,sustituye
El,rinoceronte,tímido,tímida,sustrae
El,río,típico,típica,talla
El,rocío,tonto,tonta,tapia algo
La,rodilla,torpe,torpe,tararea
El,romanticismo,tóxico,tóxica,tartamudea
La,ropa,trabajador,trabajador,templa un objeto
La,ruina,tradicional,tradicional,tiembla
El,ruiseñor,trágico,trágica,tiende algo
La,sábana,traicionado,traicionada,tiñe algo
El,sacaclavos,tranquilo,tranquila,tira algo
El,sacerdote,transitorio,transitoria,tira de alguien
La,sacerdotisa,transparente,transparente,tolera
La,sal,travieso,traviesa,tontea con alguien
El,salchichón,tripulado,tripulada,tornea un objeto
La,salida,triste,triste,tortura a alguien
La,salmuera,trivial,trivial,traduce
El,salón de baile,turbio,turbia,trafica
El,salón del trono,ulterior,ulterior,traiciona
El,saltamontes,último,última,trama
La,salud,unánime,unánime,traspasa algo
La,sangre,único,única,traslada algo
La,sanguijuela,uniforme,uniforme,traza
El,santuario,unitario,unitaria,trepa
El,sapo,universal,universal,trilla algo
La,sartén,universitario,universitaria,trincha algo
El,satélite,urbano,urbana,tripula una nave
El,semáforo,urgente,urgente,tritura algo
La,sensualidad,usual,usual,tropieza
El,sentimiento,útil,útil,ubica un lugar
La,sequía,utilitario,utilitaria,ubica un objeto
La,serendipia,utilizable,utilizable,ultima algún detalle
El,sereno,vacío,vacía,ultraja
La,serpiente,vagamundo,vagamunda,ulula
La,serpiente marina,vago,vaga,une
El,servilletero,valeroso,valerosa,unifica
El,sexo,válido,válida,unta algo
La,sílfide,valiente,valiente,usa algo
La,sinfonía,valioso,valiosa,usurpa
La,sirena,vano,vana,utiliza a alguien
El,sistema solar,variable,variable,va a prisión
El,sol,variado,variada,vadea un lugar
La,soledad,vasto,vasta,vaga por un lugar
El,sombrero,vegetal,vegetal,valida alguna aptitud
El,sonámbulo,vegetativo,vegetativa,valora algo
La,suciedad,veloz,veloz,vaticina un evento
El,sueño,envenenado,envenenada,ve algo insólito
El,sujetador,verbal,verbal,veda algo
La,taberna,verde,verde,vegeta
El,tambor,verosímil,verosímil,veja a alguien
La,tarántula,vertical,vertical,vence a alguien
La,tarta de queso,vespertino,vespertina,vende algo/a alguien
El,taxi,veterano,veterana,venera algo
La,tempestad,viable,viable,venga a alguien querido
El,templo,victorioso,victoriosa,venga a un desconocido
La,tentación,viejo,vieja,ventila
El,tentempié,vigente,vigente,verifica
El,terciopelo,violento,violenta,viaja
El,tesoro,virgen,virgen,vigila a alguien
La,tierra,visible,visible,vilipendia
La,tierra extranjera,vital,vital,viola
El,tifón,vitoreado,vitoreada,visita
El,timón,vivaz,vivaz,vitorea
El,tiovivo,viviente,viviente,vive
La,toalla,voluntario,voluntaria,vocea
El,tobillo,vulgar,vulgar,vota a alguien equivocadamente
El,tobogán,yodado,yodada,vuela
La,torre,zafio,zafia,vuelca
La,tortilla,zafíreo,zafírea,vuelve al origen
La,tortuga,zarrapastroso,zarrapastrosa,yace
El,trabajo duro,zopenco,zopenca,zanganea
La,trampa,enquistado,enquistada,zanja un asunto importante
El,transatlántico,conquistado,conquistada,zarandea
El,transeúnte,atormentado,atormentada,zigzaguea por un lugar
El,tranvía,radiactivo,radiactiva,zumba
El,trasgo,machista,machista,se constipa
El,tren,fulminante,fulminante,se apuesta aglo irremplazable
La,trenza,plurilingüe,plurilingüe,confiesa una mezquindad
El,trigo,equivalente,equivalente,prospera a costa de otro
La,tripulación,equidistante,equidistante,confía en la persona equivocada
El,tritón,paralelo,paralela,se come algo tóxico
El,troll,ignorante,ignorante,engorda demasiado
El,trueno,destrozado,destrozada,se camufla entre los habitantes
El,tucán,acuartelado,acuartelada,corre hacia un sueño
La,tuerca,evolucionado,evolucionada,se mete en una caja
El,tulipán,añejo,añeja,se despierta en otra época
La,tumba,dañado,dañada,viaja al centro de la tierra
El,ultramarinos,anglicano,anglicana,se duerme en clase
El,unicornio,norteño,norteña,cae sobre una tarta
El,uniforme,sureño,sureña,soba un sujetador
La,universidad,sustentado,sustentada,espolborea veneno sobre alguien
El,universo,español,española,canta una canción de cuna
La,uña,calzado,calzada,apuesta con el enemigo
La,urraca,embustero,embustera,se enamora de su enemigo
El,utensilio,amarillo,amarilla,busca un final feliz
La,uva,azul,azul,comienza a hacerse preguntas
La,vaca,rojo,roja,se hace derogar
El,vagabundo,rosa,rosa,se intoxica
La,vagina,arrinconado,arrinconada,irradia algo
El,vagón,oloroso,olorosa,se vuelve radiactivo
La,vainilla,omnipresente,omnipresente,consigue un material extraño
La,vajilla,omnisciente,omnisciente,es un embustero
El,valle,todopoderoso,todopoderosa,mordisquea la comida ajena
El,vampiro,acomplejado,acomplejada,contextualiza algo
El,varano,castellanizado,castellanizada,aporta un significado al mundo
El,vaso,debilitado,debilitado,encuentra el significado del universo
El,velero,diferenciado,diferenciada,se encuentra con un ente creador
El,venado,sepulcral,sepulcral,agita unas maracas
El,vendaje,terraplanista,terraplanista,consigue un don
La,ventana,homeostático,homeostática,aplana el universo
La,verdad,onomatopéyico,onomatopéyica,conquista el espacio
La,verdulería,gritón,gritona,se enamora de un objeto
El,vestuario,sustancioso,sustanciosa,se desposa con un objeto
La,vía,lácteo,láctea,asesina accidentalmente a alguien
El,viajero,cósmico,cósmica,secunda una censura
La,víbora,bíblico,bíblica,se atraganta
La,vida,apestoso,apestosa,descuida su aspecto
El,vidrio,despojado,despojada,hiere a un amigo
El,viejo,rubicundo,rubicunda,hiere a un enemigo
El,viento,encuestado,encuestada,cosifica a alguien
La,vinagrera,tórrido,tórrida,se siente atraido sexualmente
La,virtud,mentiroso,mentirosa,es sexualizado
La,visita,estúpido,estúpida,pronuncia un discuros
La,vitalidad,escrupuloso,escrupulosa,extravía el objeto que lo iba a salvar
El,vituperio,contundente,contundente,muere
El,vodka,cobrizo,cobriza,muere de forma estúpida
El,volcán,escandaloso,escandalosa,fallece premeditadamente
El,vuelo,lozano,lozana,se suicida para evitar a su enemigo
El,whisky,pechugón,pechugona,estudia
El,wombat,níveo,nívea,convence a un aristócrata
El,wyvern,blanco,blanca,se depila
El,xilófono,esculpido,esculpida,depila a alguien
El,yate,negro,negra,escribe un diario
La,yegua,racista,racista,roba un objeto
El,yogur,robótico,robótica,se esconde con cobardía
El,yunque,inteligente,inteligente,se detiene en el camino
La,zanahoria,artificial,artificial,detiene a alguien
El,zapato,artificioso,artificiosa,es detenido inoportunamente
La,zarzamora,adecuado,adecuada,casca nueces
La,zarzuela,cómico,cómica,rompe un objeto sagrado
La,cebra,tramado,tramada,es excomulgado
El,zorro,tramposo,tramposa,es cómplice de un asesinato
El,zueco,lúcido,lúcida,ayuda a su enemigo
